Country Name,CO2 emissions (metric tons per capita),Total greenhouse gas emissions (kt of CO2 equivalent),Access to electricity (% of population),Renewable energy consumption (% of total final energy consumption),Terrestrial protected areas (% of total land area),Population growth (annual %),Population (total),Urban population growth (annual %)
British Virgin Islands,6.147896846950281,NaN,99.62562052408856,1.1734247740135677,8.919209787777378,0.7291792555093114,29196.0,1.5194433090327872
Brunei Darussalam,21.9170403564387,14828.9670065495,100.0,0.014307540379933474,46.87141317377333,1.225851707028046,414474.4285714286,1.6591355312553913
Bulgaria,5.813922786068157,67942.6956330647,100.0,17.1312934929015,34.699053411476065,-0.6444170969278245,7171559.571428572,-0.18575027065404712
Burkina Faso,0.16660434110981368,43910.4023930555,20.868747901916517,75.50296043387422,14.97525370262207,2.9362301410408342,18133122.714285713,5.12022962513367
Burundi,0.035201252583299536,6254.371024225279,7.943416404724121,94.57626103602666,7.590981137252533,3.1588665150884814,10183000.57142857,5.691291048679444
Cabo Verde,0.9747485119128805,NaN,87.26674652099611,25.826372575194597,2.7968269259461267,1.2314767047311297,524629.2857142857,1.9925010485484684
Cambodia,0.39323792356528003,127399.58692502801,66.2220601908366,67.54105365564835,26.028477399794667,1.586844895173623,15518318.57142857,3.356538483917324
Cameroon,0.3002577470709907,100922.13620996199,58.068136978149404,77.29405194860729,10.600364276651133,2.6776193460305615,23321658.714285713,3.786411457174704
Canada,14.935408292512633,1027063.85487082,100.0,22.259987244573402,9.687049290540555,1.0888009322475118,35806590.0,1.1441833321483006
Caribbean small states,8.963920422225016,95976.8445260282,96.49634462014932,8.865861303189057,13.765178680677366,0.6710517658063375,7219283.571428572,0.8815223956269999
Cayman Islands,8.977700512321933,NaN,100.0,0.0,10.748513223779133,1.4751542475400288,61655.28571428572,1.4751542475400257
Central African Republic,0.06675370467126819,515134.07864148205,22.915232022603348,77.14448133566074,18.063216146595067,0.7793130916209785,4520256.285714285,1.5706523841741353
Central Europe and the Baltics,6.332695932194429,970733.6225633271,100.0,16.624350652482427,30.134319140183564,-0.22950411961419298,103235441.85714285,-0.16803374132753995
Chad,0.05142853584205506,109796.019972251,8.772141011555998,89.67630934639004,20.352957202302132,3.21225869084896,14119414.0,3.84885998205665
Channel Islands,NaN,NaN,NaN,NaN,NaN,0.8191069865239431,165809.42857142858,0.7374981140991922
Chile,4.679706176002306,120687.89240994699,99.88580733333333,28.01990657327985,18.4629694949862,1.1888870518223469,18015547.57142857,1.2595412560252743
China,7.508623200878756,12454710.6051,99.99582163492839,12.11097737629635,15.992694637178,0.5074126588991839,1371622142.857143,2.7634022128693516
Colombia,1.8176907031165268,173411.767914881,98.13077795532227,24.78033685929785,14.591303880805933,1.1954484960296305,47683590.571428575,1.63416483882539
Comoros,0.21258548011799996,564.2206617218,73.98568801879885,46.00943001748695,10.157622848489131,2.3399789040016747,777713.7142857143,2.8036303145812944
Dem. Rep. of the Congo,0.049479797320742,802271.302846335,16.32716375986735,94.55753192819768,13.4555069782662,3.2942226402722565,76378218.14285715,4.611395584019135
Rep. Congo,0.6599476059445862,35743.9185202452,55.30182202657062,63.24934382856035,40.688691189192866,2.5245964263864384,4866013.142857143,3.2255277485471248
Costa Rica,1.6256849466640368,12274.134092683602,99.48931833333334,38.31866285325961,27.601796880783535,1.0871848205039172,4846006.714285715,2.3027953644461188
Cote d'Ivoire,0.4676308675896786,33502.160237922995,62.022927602132164,71.05905490437162,22.883108989322135,2.510787519883329,23262561.57142857,3.3891145948630523
Croatia,4.104737894214103,30421.0493635559,100.0,32.258779344099125,38.2057534760026,-0.6528580872961707,4193360.0,-0.23928108964513464
Cuba,3.1257454148334833,52418.455649953496,99.09690475463867,18.01751977431035,16.552154976994732,0.1284221437308158,11312001.42857143,0.19310049490310258
Curacao,37.023785098907396,NaN,100.0,0.35232270432290824,15.481587132482735,0.829565926892189,157069.57142857142,0.7288731266715068
Cyprus,5.51886786077101,7431.1934534804695,100.0,9.285048058136947,18.650293935743132,0.7957269864159977,1161616.2857142857,0.6688514554405393
Czech Republic,9.38761861922058,138957.424743003,100.0,14.086459740771824,22.000450669320468,0.17532154461432023,10554704.0,0.2933195681065936
Denmark,6.437692786923748,53703.2239270284,100.0,29.5166759832252,17.921347462500734,0.5702819154242921,5689128.285714285,0.7201440103051534
Djibouti,0.6961879595086112,2766.30381501414,57.269906489054364,29.40307358664012,1.5730972830929197,1.6608323326496586,913749.5714285715,1.7923999963599542
Dominica,1.8931687142919233,222.835577813651,99.18202972412108,9.013762879962117,22.011216305558197,0.14211567141099393,71234.14285714286,0.5727638109992237
Dominican Republic,2.1601638368839433,33395.084429881805,98.69737433333334,17.26348816156355,25.16450125637807,1.1383431654335527,10280576.0,2.2838219668784
Early-demographic dividend,2.26964401076593,9734849.87752356,84.85146034808294,25.817182627212976,12.7054683103865,1.380255043461003,3122450663.285714,2.2958043589000603
